Metric,Type,Mean,StdDev
rouge1,precision,0.3407263029473328,0.1714761329906591
rouge1,recall,0.17562435152529407,0.08615377905280887
rouge1,fmeasure,0.22056597603764896,0.09913533148068941
rouge2,precision,0.09040968761747424,0.12386408072434218
rouge2,recall,0.043062800056240066,0.06065724511887369
rouge2,fmeasure,0.055619626019775464,0.07481716436706824
rougeL,precision,0.2259092986517515,0.12659368825605039
rougeL,recall,0.1158661914017097,0.06252613143398407
rougeL,fmeasure,0.14531493683158805,0.07182457207648496
rougeLsum,precision,0.2627320682610475,0.14440327079279003
rougeLsum,recall,0.1350625081417477,0.0724144163050376
rougeLsum,fmeasure,0.16961583497134278,0.08390192897874428
